Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DWDP,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2002-10-04 00:00:00,0.2505359947681427,24.972309112548828,32.0099983215332,18.0049991607666,9.460000038146973,35.45000076293945,14.846824645996094,,62.04999923706055,25.799999237060547,54.11090087890625,13.710000038146973,56.95000076293945,16.540000915527344,25.450000762939453,17.5,57.25,42.23282241821289,21.885000228881836,5.242499828338623,27.08728790283203,44.2599983215332,27.739999771118164,22.467500686645508,,,30.21724510192871,31.75,51.75,33.060001373291016
2002-10-07 00:00:00,0.24589300155639648,23.28297996520996,32.380001068115234,17.94499969482422,9.079999923706055,35.25,13.94911003112793,,59.529998779296875,24.209999084472656,54.359466552734375,13.819999694824219,56.70000076293945,16.770000457763672,25.065000534057617,17.450000762939453,55.439998626708984,42.10877990722656,22.024999618530273,4.994999885559082,26.850095748901367,44.46500015258789,27.389999389648438,22.5625,,,29.138057708740234,30.950000762939453,50.349998474121094,33.189998626708984
2002-10-08 00:00:00,0.24428600072860718,24.8585205078125,32.0099983215332,18.15999984741211,8.600000381469727,34.79999923706055,14.452224731445312,,61.599998474121094,25.25,54.541107177734375,13.220000267028809,58.4900016784668,16.600000381469727,26.059999465942383,17.559999465942383,56.8849983215332,43.893131256103516,22.4950008392334,5.00124979019165,28.178367614746094,44.650001525878906,28.649999618530273,22.927499771118164,,,29.120071411132812,32.31999969482422,52.599998474121094,32.70000076293945
2002-10-09 00:00:00,0.24267899990081787,23.92194938659668,30.440000534057617,16.93000030517578,9.229999542236328,34.224998474121094,14.008299827575684,,59.279998779296875,23.65999984741211,52.64818572998047,13.460000038146973,56.20000076293945,15.449999809265137,25.815000534057617,16.559999465942383,56.4900016784668,43.540077209472656,21.9950008392334,4.914999961853027,27.751422882080078,44.095001220703125,27.049999237060547,22.7450008392334,,,28.913227081298828,32.529998779296875,50.7400016784668,32.83000183105469
2002-10-10 00:00:00,0.2519640028476715,25.646289825439453,31.350000381469727,17.53499984741211,9.739999771118164,35.650001525878906,15.014530181884766,,61.08000183105469,24.600000381469727,55.04780197143555,14.180000305175781,56.79999923706055,15.949999809265137,25.729999542236328,17.170000076293945,58.275001525878906,43.902671813964844,23.190000534057617,4.978750228881836,28.44402313232422,44.494998931884766,29.3799991607666,23.045000076293945,,,29.6326847076416,32.810001373291016,51.63999938964844,33.790000915527344
2002-10-11 00:00:00,0.25910699367523193,27.020511627197266,32.0,18.290000915527344,10.319999694824219,35.9900016784668,15.784000396728516,,64.19999694824219,26.209999084472656,61.108985900878906,15.220000267028809,56.70000076293945,17.190000534057617,25.725000381469727,17.969999313354492,60.29999923706055,45.13358688354492,24.434999465942383,5.232500076293945,28.60531234741211,45.119998931884766,31.420000076293945,23.372499465942383,,,31.647167205810547,33.83000183105469,53.83000183105469,34.540000915527344
2002-10-14 00:00:00,0.26374998688697815,27.221830368041992,31.059999465942383,17.854999542236328,9.989999771118164,36.32500076293945,15.862919807434082,,65.30000305175781,26.549999237060547,60.63097381591797,15.100000381469727,57.83000183105469,16.8799991607666,26.274999618530273,17.969999313354492,60.474998474121094,47.328243255615234,24.645000457763672,5.322500228881836,29.34535026550293,45.64500045776367,30.559999465942383,23.6875,,,31.215492248535156,32.95000076293945,54.150001525878906,34.93000030517578
2002-10-15 00:00:00,0.27071401476860046,29.51511573791504,32.150001525878906,18.989999771118164,10.989999771118164,37.165000915527344,16.523874282836914,,70.0,29.399999618530273,65.46845245361328,16.520000457763672,59.560001373291016,18.610000610351562,26.239999771118164,18.059999465942383,62.625,48.549617767333984,26.145000457763672,5.618750095367432,30.16128921508789,45.209999084472656,32.65999984741211,24.11750030517578,,,31.56622886657715,34.0,56.290000915527344,36.29999923706055
2002-10-16 00:00:00,0.25999999046325684,28.184659957885742,30.5,19.3799991607666,9.8100004196167,36.79999923706055,16.178600311279297,,68.0,28.450000762939453,62.04589080810547,13.539999961853027,58.900001525878906,18.290000915527344,23.600000381469727,17.5,61.654998779296875,47.614505767822266,25.204999923706055,5.385000228881836,30.275142669677734,45.25,32.91999816894531,24.4950008392334,,,31.251466751098633,34.45000076293945,56.7599983215332,35.529998779296875
2002-10-17 00:00:00,0.2519640028476715,29.84773063659668,29.979999542236328,20.18000030517578,10.170000076293945,37.150001525878906,16.523874282836914,,72.4800033569336,29.149999618530273,69.02485656738281,14.229999542236328,60.20000076293945,18.790000915527344,22.950000762939453,17.829999923706055,62.540000915527344,48.42557144165039,25.385000228881836,5.5625,31.072105407714844,45.16999816894531,34.029998779296875,24.424999237060547,,,32.15978240966797,34.13999938964844,55.33000183105469,36.29999923706055
